▣ 홍수특보 발령상황
홍수예보 제 2013-3호,한강(왕숙천) 퇴계원(진관교)지점,2013-07-14 11:00,홍수경보 발령
홍수예보 제 2013-02호,임진강유역 적성지점,2013-07-13 06:00,홍수주의보 해제
홍수예보 제 2013-1호,임진강 유역 적성지점,2013-07-12 15:30,홍수주의보 발령
홍수예보 제 2012-8호,한강(왕숙천) 퇴계원(진관교)지점,2012-08-21 08:30,홍수주의보 해제
홍수예보 제 2012-7호,한강(왕숙천) 퇴계원(진관교)지점,2012-08-21 04:00,홍수주의보 발령
홍수예보 제 2012-6호,한강(탄천)유역 성남(대곡교)지점,2012-08-21 03:00,홍수주의보 해제
홍수예보 제 2012-5호,한강(탄천)유역 성남(대곡교)지점,2012-08-21 00:00,홍수주의보 발령
홍수예보 제 2012-4호,한강(탄천)유역 성남(대곡교)지점,2012-08-15 17:00,홍수주의보 해제
홍수예보 제 2012-3호,한강(탄천)유역 성남(대곡교)지점,2012-08-15 13:20,홍수주의보 발령
홍수예보 제 2012-2호,한강(탄천)유역 성남(대곡교))지점,2012-07-06 07:00,홍수주의보 해제
홍수예보 제 2012-1호,한강(탄천)유역 성남(대곡교)지점,2012-07-06 03:00,홍수주의보 발령
홍수예보 제 2011-22호,임진강유역 적성(비룡대교)지점,2011-07-29 02:00,홍수주의보 해제
홍수예보 제 2011-21호,임진강(한탄강) 전곡(사랑교)지점,2011-07-28 21:40,홍수주의보 해제
홍수예보 제 2011-20호,한강유역 한강대교지점,2011-07-28 16:20,홍수주의보 해제
홍수예보 제 2011-19호,임진강(한탄강) 전곡(사랑교)지점,2011-07-28 06:30,홍수주의보 변경발령
홍수예보 제 2011-18호,한강(왕숙천)유역 퇴계원(진관교)지점,2011-07-28 03:50,홍수주의보 해제
홍수예보 제 2011-17호,한강(중랑천)유역 중랑교지점,2011-07-28 03:50,홍수주의보 해제
홍수예보 제 2011-16호,한강유역 한강대교지점,2011-07-28 02:00,홍수주의보 발령
홍수예보 제 2011-15호,임진강유역 적성(비룡대교)지점,2011-07-27 21:30,홍수주의보 발령
홍수예보 제 2011-14호,임진강(한탄강) 전곡(사랑교)지점,2011-07-27 20:40,홍수경보 변경발령
홍수예보 제 2011-13호,임진강(한탄강)유역 전곡(사랑교)지점,2011-07-27 20:00,홍수주의보 발령
홍수예보 제 2011-12호,한강(탄천)유역 성남(대곡교)지점,2011-07-27 19:40,홍수주의보 해제
홍수예보 제 2011-11호,한강(왕숙천) 퇴계원(진관교)지점,2011-07-27 10:30,홍수주의보 변경발령
홍수예보 제 2011-10호,한강(중랑천)유역 중랑교지점,2011-07-27 08:30,홍수주의보 발령
홍수예보 제 2011-9호,한강(탄천)유역 성남(대곡교)지점,2011-07-27 06:00,홍수주의보 발령
홍수예보 제 2011-8호,한강(왕숙천) 퇴계원(진관교)지점,2011-07-27 03:50,홍수경보 변경발령
홍수예보 제 2011-7호,한강(왕숙천)유역 퇴계원(진관교)지점,2011-07-27 03:00,홍수주의보 발령
홍수예보 제 2011-6호,한강(왕숙천)유역 퇴계원(진관교)지점,2011-07-27 01:40,홍수주의보 해제
